,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,geom,city
145111,31 34 Queen s Gate Kensington and Chelsea London SW7 5JA United Kingdom,524,12/12/2016,8.2,The Queens Gate Hotel, Netherlands , Nothing,2,2516, Super friendly people at the bar and reception and a very quiet location close to great restaurants ,19,11,10.0,"[' Leisure trip ', ' Group ', ' Standard Family Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",234 day,51.4981225,-0.1799693,"51.4981225,-0.1799693",London
256146,85 87 RUE DES ARCHIVES 3rd arr 75003 Paris France,51,8/30/2016,9.4,La Chambre du Marais, Isle of Man ,No Negative,0,301, Very friendly and helpful staff Well situated,8,1,10.0,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",338 day,48.863616799999996,2.3607998,"48.863616799999996,2.3607998",Paris
7363,1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,11/12/2015,8.4,Park Plaza County Hall London, United Kingdom , A day after using express check out I still haven t received a copy of the bill ,19,6117, Friendly staff Handy for Westminster and Waterloo ,9,3,8.3,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",630 day,51.5014001,-0.11600919999999999,"51.5014001,-0.11600919999999999",London
425256,Rambla del Raval 17 21 Ciutat Vella 08001 Barcelona Spain,256,4/17/2016,8.4,Barcel Raval, United Kingdom , See above all perfect ,6,2254, Free upgrade was unexpected and very welcome ,9,2,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",473 day,41.379012599999996,2.1696339,"41.379012599999996,2.1696339",Barcelona
330031,Gran Via 605 Eixample 08007 Barcelona Spain,343,7/24/2017,8.4,Avenida Palace, United Kingdom , This hotel is a joke The bathroom door broke and we were left without access to the bathroom for two nights Staff would not fix the issues The first night they put us in a room with twin beds when I specifically requested a double bed The bed had no quilts ,53,3222, Location,2,3,4.2,"[' Leisure trip ', ' Couple ', ' Double Room 1 2 Adults ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",10 days,41.3891168,2.1671986,"41.3891168,2.1671986",Barcelona
35312,11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,421,11/10/2015,8.5,The Rembrandt, Spain , Noise broken heating,4,1802, Location breakfast,3,5,6.7,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ']",632 day,51.4959227,-0.17029170000000002,"51.4959227,-0.17029170000000002",London
48291,14 16 Craven Hill Lancaster Gate Westminster Borough London W2 3DU United Kingdom,289,12/27/2016,8.8,Park Grand London Lancaster Gate, United Kingdom , The small fridge in the club room isn t in a very good condition We couldn t store our snacks yogurts and ice cream very well Club room is on ground floor and it sometimes gets a bit wet damp in there The air circulation can be improved ,50,1519, Staff are incredibly nice even when they serve us at very late night ,15,1,8.8,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",219 day,51.51320689999999,-0.18078160000000001,"51.51320689999999,-0.18078160000000001",City of Westminster
4840,1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,1/12/2016,8.0,The Principal London, Croatia , The rooms were not as good as Advertised and are in need of refurbishment We changed to a slightly better room,22,3150,No Positive,0,4,5.5,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 4 nights ']",569 day,51.5226217,-0.1251602,"51.5226217,-0.1251602",London
437313,Royal Victoria Dock Western Gateway Newham London E16 1AL United Kingdom,879,3/13/2016,8.8,Crowne Plaza London Docklands, United Kingdom , Nothing,2,2768, Spacious room excellent breakfast ,6,5,10.0,"[' Leisure trip ', ' Couple ', ' Double Room with Two Double Beds ', ' Stayed 1 night ', ' Submitted from a mobile device ']",508 day,51.5083537,0.0198855,"51.5083537,0.0198855",London
381075,Molenwerf 1 1014 AG Amsterdam Netherlands,914,4/15/2016,8.5,Golden Tulip Amsterdam West, United Kingdom , Staff room was tiny broken iron and board silly lighting fixtures couldn t open cupboard,16,7586, Staff was rude and unhelpful,6,1,2.5,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",475 day,52.385601,4.8470597,"52.385601,4.8470597",Amsterdam
131873,29 31 Gower Street Camden London WC1E 6HG United Kingdom,457,3/30/2016,6.8,Bloomsbury Palace Hotel, Saudi Arabia , street view rooms are noisy esp in the first floor,11,2751, staff and facilities are very good location also is very good,12,3,9.6,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 5 nights ']",491 day,51.5207945,-0.1310845,"51.5207945,-0.1310845",London
297639,Carretera Vallvidrera Tibidabo 83 93 Horta Guinard 08035 Barcelona Spain,75,8/4/2015,8.7,Gran Hotel La Florida, United Kingdom ,No Negative,0,943, The view was incredible and the staff were super helpful and friendly ,14,4,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Terrace and City View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",730 day,41.425333200000004,2.1211027999999996,"41.425333200000004,2.1211027999999996",Barcelona
39964,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,404,3/1/2016,8.9,Arbor City, United Kingdom , The view was not very nice at all ,10,2197, The hotel was lovely and the room was very clean and comfortable ,14,2,9.6,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",520 day,51.5166755,-0.0697897,"51.5166755,-0.0697897",London
491220,Via Spallanzani 40 Central Station 20129 Milan Italy,353,8/1/2016,8.1,Starhotels Ritz, United States of America , Service at the restaurant was verry poor ,9,4248, Staff was not freendly,5,3,7.9,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",367 day,45.4779041,9.2094965,"45.4779041,9.2094965",Milano
375664,Mandeville Place Westminster Borough London W1U 2BE United Kingdom,495,7/30/2016,8.5,The Mandeville Hotel, United Kingdom , Extremely rude staff ,5,2300, The hotel was in a good location good value the air conditioning was excellent and kept the room nice an chilled,22,10,6.7,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",369 day,51.516516499999994,-0.15097349999999998,"51.516516499999994,-0.15097349999999998",City of Westminster
17305,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,3/20/2016,9.4,Intercontinental London The O2, United Kingdom ,No Negative,0,4204, The closeness to the o2 The staff were excellent too ,12,4,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",501 day,51.5024348,-0.0002497,"51.5024348,-0.0002497",London
179299,40 Liverpool Street City of London London EC2M 7QN United Kingdom,346,10/20/2016,9.0,Andaz London Liverpool Street, Switzerland , Relatively low light in rooms Great location and facilities ,11,1283, Welcome wine and self service Nespresso in the morning ,11,4,9.6,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ']",287 day,51.5172825,-0.0812451,"51.5172825,-0.0812451",City of London
2277,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,1058,11/14/2016,7.7,The Park Grand London Paddington, United Kingdom , There was nothing on this occasion that I didn t like If I was going to be picky I would of liked it to be closer to the main shops ,32,4380, The room was very nice bed was highly comfortable The staff were very friendly and didn t rush me unlike other hotels ,24,6,9.2,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",262 day,51.514218400000004,-0.18090320000000001,"51.514218400000004,-0.18090320000000001",City of Westminster
126739,265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,10/3/2015,8.1,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,No Negative,0,3826, Loved the location over the Thames The room was lovely and the bar area was excellent ,18,1,9.2,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ']",670 day,51.5043483,-0.0334436,"51.5043483,-0.0334436",London
410865,Piet Heinkade 11 Zeeburg 1019 BR Amsterdam Netherlands,338,7/9/2017,8.4,M venpick Hotel Amsterdam City Centre, Luxembourg ,No Negative,0,1925, Great hotel ,4,23,9.6,"[' Business trip ', ' Solo traveler ', ' Classic Twin Room ', ' Stayed 1 night ']",25 days,52.3781016,4.9142508000000005,"52.3781016,4.9142508000000005",Amsterdam
131801,29 31 Gower Street Camden London WC1E 6HG United Kingdom,457,6/25/2016,6.8,Bloomsbury Palace Hotel, United Kingdom , Hard bed and very small room,7,2751, Good location,3,1,6.3,"[' Leisure trip ', ' Solo traveler ', ' Small Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",404 day,51.5207945,-0.1310845,"51.5207945,-0.1310845",London
29755,108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,341,12/14/2016,8.2,Park Plaza Sherlock Holmes London, United Kingdom ,No Negative,0,1496, At the heart of things and well run so a pleasure to stay there ,16,7,8.8,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",232 day,51.5209191,-0.1566567,"51.5209191,-0.1566567",City of Westminster
441145,Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,1831,5/14/2017,8.1,Copthorne Tara Hotel London Kensington, United Kingdom , Nothing If your previous clients didn t highlight the broken shower it is difficult to mend We did so the next people to use 1081 should have a good shower ,32,7105, We were upgraded a very nice greeting stay here every year to do a miniature show however the shower was broken so didn t get a shower in the morning usually your showers are fantastic very nice free breakfast to start our long day will always stay with you as very convenient and friendly,55,2,10.0,"[' Business trip ', ' Group ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",81 days,51.499046,-0.1917073,"51.499046,-0.1917073",London
297097,Cardington Street Euston Camden London NW1 2LP United Kingdom,744,8/9/2015,8.3,Thistle Euston, United Kingdom , needs new windows,4,2474, very god staff nothing to much trouble,8,4,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']",725 day,51.5291423,-0.13727820000000002,"51.5291423,-0.13727820000000002",London
88723,2 Montagu Place Westminster Borough London W1H 2ER United Kingdom,65,10/21/2016,9.1,Montagu Place Hotel, China , Location,2,287,No Positive,0,6,8.3,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",286 day,51.5191009,-0.1592,"51.5191009,-0.1592",City of Westminster
508389,Westside Wimbledon Common Wimbledon London SW19 4UE United Kingdom,153,11/7/2016,8.4,Hotel du Vin Cannizaro House Wimbledon, United Kingdom ,No Negative,0,476, Views across the park Gorgeous mattress ,8,3,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room with Park View ', ' Stayed 1 night ']",269 day,51.42424129999999,-0.22935029999999998,"51.42424129999999,-0.22935029999999998",London
319279,Epping Forest 30 Oak Hill London IG8 9NY United Kingdom,193,8/31/2016,7.5,Best Western PLUS Epping Forest, United Kingdom , Great polite happy person checked me in person who checked me out bit cold and unfriendly Decor is a bit dated so if you like a modern environment this is not for you ,35,587, Spacious room lovely comfy bed great en suite bathroom quiet location yet close to transport ,17,1,8.8,"[' Leisure trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",337 day,51.603207,0.010607,"51.603207,0.010607",London
511602,Wiedner Hauptstr 27 29 04 Wieden 1040 Vienna Austria,279,7/5/2017,8.8,Hotel Erzherzog Rainer, United Kingdom , The price of bottle watered nearly 5 euros for medium size bottle ,14,3598, Cosy but slightly date hotel Pillows great,8,8,7.1,"[' Leisure trip ', ' Couple ', ' Special Offer Queen Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",29 days,48.1953229,16.367288199999997,"48.1953229,16.367288199999997",Wien
450280,Singel 303 309 Amsterdam City Center 1012 WJ Amsterdam Netherlands,834,5/26/2017,9.1,Hotel Esther a, India ,No Negative,0,4687, The Bed and the Pillows were very comfortable We had a very sound sleep The whole decor of the room was done in the DELFT BLUE tones and print The toiletries were L Occitance As we were there only for a day and wanted to make the most of our time experiencing Amsterdam we were not able to explore the hotel facilities fully but the Dining Area Bar Library all looked very inviting The staff was polite and made us feel quite welcome Location was Superb Walking distance from Jordan Centraal Station De Wallen and right in the midst of lovely canals Would love to stay there again if given the opportunity of another visit ,117,2,8.8,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 1 night ']",69 days,52.3705447,4.888643900000001,"52.3705447,4.888643900000001",Amsterdam
488404,Via Senato 5 Milan City Center 20121 Milan Italy,99,8/24/2015,8.8,Baglioni Hotel Carlton The Leading Hotels of the World, France ,No Negative,0,775, Discreet and Attentive team All was perfect Even for my dog A beautiful place close monuments and famous shops ,21,11,9.6,"[' With a pet ', ' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",710 day,45.4691663,9.1984454,"45.4691663,9.1984454",Milano
207700,52 56 Inverness Terrace Westminster Borough London W2 3LB United Kingdom,545,6/19/2016,8.0,Shaftesbury Hyde Park International, United States of America ,No Negative,0,2907, Hotel was spotless and the room although not very large was very comfortable Staff were helpful and friendly,19,16,7.9,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",410 day,51.5123968,-0.186124,"51.5123968,-0.186124",City of Westminster
279546,Avenida Paralelo 57 59 Sants Montju c 08004 Barcelona Spain,74,4/29/2016,7.8,Tryp Barcelona Apolo Hotel, United States of America , Front desk not helpful and rude Room stated air conditioning but they only have airco in summer Bed uncomfortable pillow uncomfortable No way is this a 4 star hotel aesthetically or by service levels ,36,883, Location,2,15,3.8,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",461 day,41.374703100000005,2.1707106,"41.374703100000005,2.1707106",Barcelona
299927,Comte Borrell 208 Eixample 08029 Barcelona Spain,61,10/4/2016,8.0,Zenit Borrell, Netherlands , Not that many facilities such as a spa or a gym but not required either We knew this in advance ,22,758, Rather small but clean and cosy rooms Properly cleaned All personnel was very friendly and at our service at any time ,23,2,9.2,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 5 nights ']",303 day,41.3859873,2.1514021,"41.3859873,2.1514021",Barcelona
